,type,location,bgloc,area,distance,Timestep 1 (mean),Timestep 2 (mean),Timestep 3 (mean),Timestep 4 (mean),Timestep 5 (mean),Timestep 6 (mean),Timestep 7 (mean),Timestep 8 (mean),Timestep 1 (min),Timestep 2 (min),Timestep 3 (min),Timestep 4 (min),Timestep 5 (min),Timestep 6 (min),Timestep 7 (min),Timestep 8 (min),Timestep 1 (max),Timestep 2 (max),Timestep 3 (max),Timestep 4 (max),Timestep 5 (max),Timestep 6 (max),Timestep 7 (max),Timestep 8 (max),Timestep 1 (RawIntDen),Timestep 2 (RawIntDen),Timestep 3 (RawIntDen),Timestep 4 (RawIntDen),Timestep 5 (RawIntDen),Timestep 6 (RawIntDen),Timestep 7 (RawIntDen),Timestep 8 (RawIntDen),Timestep 1 (IntDen),Timestep 2 (IntDen),Timestep 3 (IntDen),Timestep 4 (IntDen),Timestep 5 (IntDen),Timestep 6 (IntDen),Timestep 7 (IntDen),Timestep 8 (IntDen),Timestep 1 (bg mean),Timestep 2 (bg mean),Timestep 3 (bg mean),Timestep 4 (bg mean),Timestep 5 (bg mean),Timestep 6 (bg mean),Timestep 7 (bg mean),Timestep 8 (bg mean)
Spine: 0,0,[197 235],[169.12319626 211.36179531],[0.753588],11.678787072575929,72.79768786127168,77.15606936416185,68.98265895953757,67.35260115606937,67.29479768786128,67.3757225433526,52.87861271676301,35.335260115606935,13,16,11,7,14,10,7,7,196,191,193,175,182,172,161,136,12594,13348,11934,11652,11642,11656,9148,6113,9490.687272000001,10058.892624000002,8993.319192,8780.807376,8773.271496000001,8783.821728,6893.823024000001,4606.683444,8.823529411764707,9.3,9.705882352941176,7.905882352941177,9.294117647058824,8.847058823529412,8.276470588235295,8.129411764705882
Spine: 1,0,[353 285],[293.66195251 340.51309808],[1.2763080000000002],22.467133620917114,95.53242320819113,88.41638225255973,127.08191126279864,93.26621160409556,105.79863481228669,109.91467576791808,134.02047781569965,166.32764505119454,15,13,23,13,15,18,20,38,255,236,250,225,236,231,255,255,27991,25906,37235,27327,30999,32205,39268,48734,35725.13722800001,33064.035048000005,47523.328380000006,34877.66871600001,39564.271692,41103.49914000001,50118.06254400001,62199.59407200001,5.69283276450512,5.918088737201365,5.8941979522184305,4.2320819112627985,6.146757679180888,6.1194539249146755,6.010238907849829,6.525597269624574
Spine: 2,0,[243 254],[254.45530702 241.34334774],[0.8929800000000001],15.352695254717943,92.21951219512195,107.7560975609756,100.76585365853659,135.98048780487804,102.54634146341463,90.32682926829268,91.3170731707317,74.18536585365854,15,25,27,29,25,15,16,16,214,221,231,248,205,234,197,132,18905,22090,20657,27876,21022,18517,18720,15208,16881.786900000003,19725.928200000002,18446.28786,24892.71048,18772.225560000003,16535.310660000003,16716.585600000002,13580.439840000001,12.946601941747574,14.446601941747574,13.480582524271844,12.024271844660195,15.800970873786408,17.946601941747574,14.805825242718447,15.451456310679612
Spine: 3,0,[335 259],[335 239],[0.679536],22.203133620917114,62.16025641025641,80.4423076923077,63.26282051282051,71.41666666666667,76.89102564102564,59.41025641025641,48.67948717948718,33.15384615384615,8,10,12,12,10,8,8,6,162,181,143,160,179,174,129,124,9697,12549,9869,11141,11995,9268,7594,5172,6589.460592,8527.497264000001,6706.340784000001,7570.710576000001,8151.034320000001,6297.9396480000005,5160.396384000001,3514.5601920000004,8.756410256410257,8.775641025641026,8.775641025641026,8.576923076923077,8.58974358974359,9.211538461538462,10.852564102564102,17.666666666666668
Spine: 4,0,[226 289],[200 340],[1.0149480000000002],15.323179157414945,32.291845493562235,33.58369098712446,28.40343347639485,34.59656652360515,31.167381974248926,33.64377682403433,37.45922746781116,37.01716738197425,6,6,5,6,5,6,7,7,118,133,88,115,106,129,107,90,7524,7825,6618,8061,7262,7839,8728,8625,7636.468752000001,7941.968100000001,6716.925864000001,8181.495828000001,7370.552376000001,7956.177372000001,8858.466144000002,8753.926500000001,5.459227467811159,5.4034334763948495,5.1888412017167385,3.8497854077253217,5.506437768240343,5.467811158798283,5.914163090128755,5.991416309012876
Spine: 5,0,[262 285],[262 317],[0.8799120000000001],16.450208966917746,67.53465346534654,57.198019801980195,54.86138613861386,51.02970297029703,54.98019801980198,78.76732673267327,88.65841584158416,105.39108910891089,10,8,8,7,6,7,13,15,204,230,201,228,228,243,249,255,13642,11554,11082,10308,11106,15911,17909,21289,12003.759504000001,10166.503248,9751.184784000001,9070.132896000001,9772.302672000002,14000.279832000002,15758.344008000002,18732.446568000003,6.410891089108911,6.534653465346534,6.341584158415841,5.02970297029703,6.306930693069307,6.594059405940594,7.014851485148514,6.5594059405940595
Spine: 6,0,[ 30 220],[ 34 197],[0.792792],0.5326099565383594,66.78021978021978,85.43956043956044,97.21978021978022,98.66483516483517,81.87912087912088,79.62637362637362,49.642857142857146,37.59340659340659,9,19,29,26,19,14,9,9,153,185,211,205,193,179,155,102,12154,15550,17694,17957,14902,14492,9035,6842,9635.593968000001,12327.915600000002,14027.661648000001,14236.165944000002,11814.186384,11489.141664,7162.875720000001,5424.282864000001,7.84065934065934,8.362637362637363,8.472527472527473,7.28021978021978,8.17032967032967,8.005494505494505,7.978021978021978,7.593406593406593
Spine: 7,0,[100 258],[100 314],[1.1674080000000002],5.336058442222854,51.399253731343286,68.73880597014926,50.75373134328358,43.99626865671642,46.63805970149254,45.96641791044776,48.05597014925373,44.04477611940298,7,14,7,5,6,4,7,6,145,173,167,127,137,111,139,113,13775,18422,13602,11791,12499,12319,12879,11804,16081.045200000002,21505.990176000003,15879.083616000002,13764.907728000002,14591.432592000001,14381.299152000001,15035.047632000002,13780.084032000002,6.779850746268656,5.727611940298507,6.347014925373134,4.6940298507462686,5.727611940298507,6.347014925373134,7.100746268656716,6.156716417910448
Spine: 8,0,[218 250],[222 234],[0.627264],13.287925024908505,110.17361111111111,114.10416666666667,101.54166666666667,113.15972222222223,107.13194444444444,79.74305555555556,54.076388888888886,30.3125,32,15,26,19,30,15,9,8,241,237,212,230,227,227,202,73,15865,16431,14622,16295,15427,11483,7787,4365,9951.543360000001,10306.574784,9171.854208,10221.266880000001,9676.801728,7202.872512000001,4884.504768000001,2738.0073600000005,14.805555555555555,12.930555555555555,11.743055555555555,10.0625,12.833333333333334,10.67361111111111,9.645833333333334,8.916666666666666
Spine: 9,0,[127 251],[119 283],[0.7579440000000001],7.437428984572407,28.591954022988507,25.632183908045977,32.747126436781606,25.735632183908045,24.896551724137932,26.304597701149426,26.89080459770115,27.603448275862068,6,6,6,6,7,6,7,6,94,75,106,79,77,76,76,91,4975,4460,5698,4478,4332,4577,4679,4803,3770.7714000000005,3380.4302400000006,4318.764912000001,3394.073232,3283.4134080000003,3469.1096880000005,3546.4199760000006,3640.4050320000006,6.241379310344827,6.867816091954023,6.804597701149425,5.545977011494253,6.316091954022989,6.85632183908046,6.747126436781609,6.839080459770115
Spine: 10,0,[303 252],[308 219],[0.8319960000000001],18.98357595818758,125.7434554973822,116.47120418848168,123.55497382198953,112.14659685863874,124.53926701570681,146.70157068062827,103.07329842931937,81.24607329842932,27,11,26,14,14,32,15,13,252,243,241,255,255,255,245,215,24017,22246,23599,21420,23787,28020,19687,15518,19982.047932,18508.583016,19634.273604,17821.354320000002,19790.688852000003,23312.527920000004,16379.505252000003,12910.913928000002,7.460732984293194,7.366492146596858,7.267015706806283,5.272251308900524,6.968586387434555,7.2408376963350785,7.408376963350785,9.167539267015707
Spine: 11,0,[375 275],[378.22530551 292.08135954],[1.062864],23.669135737482204,102.5860655737705,98.76229508196721,78.90983606557377,82.4672131147541,95.92213114754098,118.30737704918033,118.15573770491804,127.90573770491804,16,14,10,11,10,16,16,22,249,255,244,255,252,255,255,236,25031,24098,19254,20122,23405,28867,28830,31209,26604.548784000002,25612.896672000003,20464.383456000003,21386.949408000004,24876.331920000004,30681.695088000004,30642.369120000003,33170.922576000004,10.681632653061225,10.608163265306123,10.126530612244897,9.49795918367347,10.742857142857142,16.951020408163266,13.771428571428572,17.146938775510204
Spine: 12,0,[312 285],[312 317],[0.627264],19.761133620917114,68.64583333333333,74.40972222222223,68.17361111111111,49.791666666666664,85.69444444444444,76.44444444444444,104.0625,150.05555555555554,13,12,12,7,17,14,14,36,196,207,165,170,177,194,251,255,9885,10715,9817,7170,12340,11008,14985,21608,6200.504640000001,6721.133760000001,6157.850688,4497.4828800000005,7740.437760000001,6904.922112000001,9399.55104,13553.920512000002,8.38888888888889,8.208333333333334,7.972222222222222,5.201388888888889,8.20138888888889,8.527777777777779,8.159722222222221,7.784722222222222
Spine: 13,0,[183 262],[172 288],[1.097712],11.370067634729214,64.81746031746032,64.39285714285714,70.40079365079364,82.01984126984127,92.92857142857143,111.12301587301587,131.39285714285714,136.44444444444446,5,5,7,5,10,18,18,8,255,255,255,241,212,252,255,255,16334,16227,17741,20669,23418,28003,33111,34384,17930.027808000003,17812.572624,19474.508592000002,22688.609328000002,25706.219616000002,30739.229136,36346.34203200001,37743.72940800001,6.777777777777778,6.646825396825397,6.694444444444445,5.468253968253968,6.734126984126984,6.896825396825397,7.527777777777778,7.25
Spine: 14,0,[ 46 261],[ 54 314],[0.9844560000000001],1.522992160039711,42.9646017699115,31.991150442477878,32.623893805309734,29.256637168141594,41.50442477876106,36.256637168141594,33.1283185840708,27.557522123893804,8,6,6,5,7,6,7,6,135,101,117,96,136,109,88,78,9710,7230,7373,6612,9380,8194,7487,6228,9559.067760000002,7117.6168800000005,7258.394088000001,6509.223072000001,9234.19728,8066.632464000001,7370.622072000001,6131.191968000001,5.6415929203539825,5.79646017699115,5.960176991150442,4.247787610619469,5.668141592920354,5.920353982300885,6.154867256637168,6.278761061946903
